run,pattern,uptake_factor,peak_ngu,auc_ngu_ms,excess_auc_ngu_ms,time_above_ms,near_saturation_ms,clearance_ms
278,Burst,0.75,4.108732145535879,729.5412633182342,373.0455625831065,281.25,170.25,97.25
279,Burst,0.75,4.68583348260678,770.6568583472381,406.8604841339339,289.0,180.75,106.5
280,Burst,0.75,4.036967097968631,707.8908246923098,357.4099087612263,270.75,166.25,91.5
281,Burst,0.75,4.658859522283219,844.7734754161997,464.7770901212569,308.75,200.75,98.25
282,Burst,0.75,4.580206379081983,850.6794462131176,467.66670262194697,308.0,201.75,101.75
283,Burst,0.75,4.1309202525250575,775.3973002641225,408.62651120928524,290.75,180.75,97.5
284,Burst,0.75,4.013723355073932,686.8851805653678,340.9108719401647,265.5,159.5,95.75
285,Burst,0.75,4.353276258783913,705.7579625412736,354.3867325139373,273.5,164.25,86.0
286,Burst,0.75,4.560905880864858,781.3514031333364,412.05669590682845,293.5,182.5,95.75
287,Burst,0.75,3.9347680711427127,685.6673822147002,338.0063361760175,266.5,160.25,88.25
288,Burst,0.75,4.089614560938745,723.1494078106009,368.63033212472567,274.5,170.0,97.0
289,Burst,0.75,4.544624719481971,843.1460750401291,459.2462180925369,312.0,196.25,104.25
290,Burst,0.75,4.540420574648239,765.1592129498457,402.07994012437985,285.0,181.25,87.0
291,Burst,0.75,4.402778800776202,800.7397831904378,427.93872699004504,296.0,187.5,96.25
292,Burst,0.75,4.856335499260817,778.0088541406049,411.50803470957277,287.25,178.0,109.25
293,Burst,0.75,4.119282904952901,756.7629893105636,393.90846824003785,283.0,178.5,93.75
294,Burst,0.75,4.140560222448123,754.1494540700047,392.3765612107283,286.75,173.75,88.25
295,Burst,0.75,4.219942055336613,739.5452567851464,380.65379123591725,284.5,168.5,87.0
296,Burst,0.75,4.2863106434950575,772.9696943409544,406.6630730944063,290.75,184.0,91.25
297,Burst,0.75,4.420939267729006,791.7400301010815,419.8286654132989,295.25,183.0,92.75
298,Burst,0.75,4.207698935148824,723.2281295272405,368.3528665440385,279.25,170.25,94.25
299,Burst,0.75,4.447147969914216,742.9474193086601,383.82880510273554,281.25,171.25,94.0
0,Burst,1.0,3.8342430318953644,494.4875698401885,227.06404952068783,204.5,111.75,64.0
1,Burst,1.0,3.8935352312432885,530.9607165600995,257.8080004822689,210.75,122.25,71.5
2,Burst,1.0,4.601945685374681,598.1616501372264,307.81274851194644,228.75,135.75,72.5
3,Burst,1.0,4.09950394366343,554.8047692652982,272.62011023624166,220.5,124.75,65.75
4,Burst,1.0,3.999038064559447,577.5403731845954,292.271994652852,225.25,135.25,67.75
5,Burst,1.0,4.293201605183405,584.1478794032051,296.4697082171956,225.75,135.5,66.25
6,Burst,1.0,4.00383784327609,512.8112607054982,242.82581243265028,208.25,112.25,66.0
7,Burst,1.0,3.7785200313032403,534.7498601126296,258.3859329234945,212.0,123.0,68.5
8,Burst,1.0,4.3781473350812945,595.8627775797067,306.0607339963147,226.75,138.75,73.5
9,Burst,1.0,3.850825152772757,539.106372291605,261.56546193067965,214.75,125.25,67.75
10,Burst,1.0,4.055580519783949,574.6296445012218,289.2884179821308,224.0,135.5,73.5
11,Burst,1.0,4.066579203281924,594.6265759828564,305.12499428449456,234.75,142.5,69.5
12,Burst,1.0,4.694796403534844,639.54825034302,341.1368590622963,239.25,152.5,81.5
13,Burst,1.0,3.9958935448839705,579.8234238965822,293.2943103882531,224.25,138.25,65.75
14,Burst,1.0,3.9239203200628907,582.1881976938856,295.02595066993246,224.0,138.0,68.5
15,Burst,1.0,4.367757749829584,571.0611450321649,286.6037437445074,219.25,133.25,77.5
16,Burst,1.0,3.925920586757509,547.8679533167074,268.0515151624657,217.0,126.0,70.0
17,Burst,1.0,3.97318897006122,548.3396704954686,270.623981177905,215.25,127.25,72.5
18,Burst,1.0,4.140453956300988,584.1854409030836,295.05378878471345,228.0,136.0,67.0
19,Burst,1.0,3.8563999801112505,554.8177131593894,273.68815892245937,217.0,130.5,71.0
20,Burst,1.0,3.7847202330179215,538.4437059149327,260.26409801474256,214.5,123.75,68.25
21,Burst,1.0,4.261246085801806,618.5581235709186,324.6637872933369,233.5,148.0,71.75
22,Burst,1.0,3.900890280687075,547.5155667370165,269.0324004865195,219.25,128.25,66.0
23,Burst,1.0,3.8731790817301004,543.6156573058031,264.506336190998,216.25,124.5,64.75
24,Burst,1.0,4.120388250949638,577.4470654667093,289.8378032935841,223.75,135.0,74.25
25,Burst,1.0,4.122115126746862,559.1799968969756,277.34713440692633,216.75,130.25,63.25
26,Burst,1.0,3.960589437617115,543.8464822366564,264.7255257565908,219.0,122.0,72.25
27,Burst,1.0,4.5082023096756965,600.1495769205493,309.52767315994794,233.0,138.75,71.0
28,Burst,1.0,3.8779218909836404,572.9262321434223,286.96449950829015,224.0,135.0,67.75
29,Burst,1.0,3.87287902210655,546.5471066328057,268.9864415447437,217.25,126.0,67.0
30,Burst,1.0,4.02744120204856,586.6236221530064,299.11198239502176,228.25,139.25,69.0
31,Burst,1.0,3.909778512983222,516.3509710429691,244.29486679203137,210.75,115.5,64.0
32,Burst,1.0,3.7563422332271315,554.5513119895339,273.49781744852004,225.75,129.5,66.75
33,Burst,1.0,4.197798133501913,554.5744343262861,271.6006396576099,222.75,123.5,75.25
34,Burst,1.0,4.08055225156173,618.1517119510985,323.7077146777044,232.25,144.5,73.25
35,Burst,1.0,4.002468063916665,565.7097557975205,282.1719034670336,224.75,131.75,65.25
36,Burst,1.0,3.9071079758559506,565.8096819076928,281.9128997234232,223.75,136.0,69.75
37,Burst,1.0,4.173343933856151,573.5409876362353,287.9536514605921,222.75,131.75,64.25
38,Burst,1.0,4.420703748182075,571.2580687703337,285.7310173394696,227.0,130.5,71.0
39,Burst,1.0,3.9636056733667435,544.1373135123522,265.6150213527524,218.0,124.25,72.25
40,Burst,1.0,4.064269911993069,556.4070386275896,275.11484884627214,221.5,129.25,68.5
41,Burst,1.0,4.283522760447038,602.8304201257577,310.93567671876286,228.0,141.5,76.25
42,Burst,1.0,4.074947523054213,567.0219058304024,282.3998581818199,222.75,134.75,66.25
43,Burst,1.0,3.8886566420228426,576.9411711043135,290.3661845493168,227.25,136.75,67.25
44,Burst,1.0,4.193580696765778,545.7942694074703,265.80394599922386,217.25,124.5,65.75
45,Burst,1.0,3.812138777569311,552.6861371337081,271.9425498618774,218.0,129.0,64.25
46,Burst,1.0,4.0139365533984215,589.9229914421722,300.0602707286546,231.75,138.75,73.0
47,Burst,1.0,4.070435939675547,558.6170238496816,276.3815205010795,218.25,129.25,73.0
48,Burst,1.0,3.922480819517427,551.2731600736645,271.2482008619993,217.5,130.25,67.75
49,Burst,1.0,4.119092496270495,529.055652186434,255.07644320658832,210.75,118.0,63.5
50,Burst,1.0,4.260305381464651,577.0585615455864,291.128862122208,222.75,136.0,67.25
51,Burst,1.0,4.0469102533896075,542.486688019672,266.24749588186216,218.25,125.25,65.75
52,Burst,1.0,4.164312155936379,557.5209666085615,276.47300294532147,220.75,130.25,69.0
53,Burst,1.0,4.091560851463302,571.6699333151993,287.1609975062449,225.25,132.75,61.75
54,Burst,1.0,4.377762978949835,645.6273752025685,343.7093028945543,243.5,153.5,68.25
55,Burst,1.0,4.176984158653748,581.139879594001,294.82671015586163,223.25,137.5,70.25
56,Burst,1.0,3.942929259690462,536.179594409473,259.8169972219199,215.5,121.25,68.75
57,Burst,1.0,3.9361076270351463,530.8499921216645,255.01366047075146,216.0,119.75,72.0
58,Burst,1.0,3.829141189147855,557.8664963449314,276.29193695083717,218.25,127.5,68.25
59,Burst,1.0,3.9984096006971006,553.0766290781293,271.56241613868906,222.0,127.75,72.75
60,Burst,1.0,3.83179421979771,538.6014050636119,261.0311463797746,216.75,124.25,70.5
61,Burst,1.0,3.6440388440989118,520.0297730158596,249.13379095453644,207.75,121.75,66.75
62,Burst,1.0,4.104809333336529,537.0343550939174,260.9052750176856,216.0,121.5,74.0
63,Burst,1.0,3.7860598460544552,526.8681811939673,252.58692003877385,211.25,120.25,70.0
64,Burst,1.0,3.992498886950336,564.7271137505395,280.84445851922027,222.25,130.5,68.75
65,Burst,1.0,3.95972290167787,552.2312096228765,271.37294738945513,221.25,127.75,72.25
66,Burst,1.0,4.158349507452086,536.6866854484912,261.377318857048,212.25,119.5,70.25
67,Burst,1.0,4.2589100704749505,579.2564070213925,293.25538618765756,224.5,133.5,69.75
68,Burst,1.0,3.659625962325995,500.15060794011464,230.35640324443904,208.0,109.75,60.5
69,Burst,1.0,3.911392454117047,568.6768807082371,283.6265820529336,225.25,134.25,71.75
70,Burst,1.0,3.7824831215587187,511.7948411215847,239.24214189999122,214.25,115.75,70.0
71,Burst,1.0,3.807040988643049,510.3670239159892,239.6601294332481,207.0,113.25,67.0
72,Burst,1.0,4.281625883927912,588.5356777054728,301.51237358376517,226.0,138.25,62.25
73,Burst,1.0,3.7977729772734747,523.1884271348455,249.37408874728328,211.0,121.75,65.5
74,Burst,1.0,3.738652890997372,548.8970430690794,268.63584276168893,219.25,130.0,69.5
75,Burst,1.0,3.707703462476598,515.866232744164,244.47209512961834,207.5,118.75,69.0
76,Burst,1.0,3.868945418668268,499.5833028711219,231.48195010942635,205.5,111.5,71.0
77,Burst,1.0,4.11157344649999,593.8752553674245,302.921916203811,230.5,139.0,71.5
78,Burst,1.0,3.91930280972732,555.5177633155228,274.04401203731624,220.25,131.75,65.75
79,Burst,1.0,3.610451474390441,520.3475508640539,248.17086373958142,210.0,122.25,67.75
80,Burst,1.0,4.149301348708004,623.5737687296232,326.8586293632039,233.5,146.25,70.5
81,Burst,1.0,3.9687669841279156,575.0380608718457,289.14052369526524,227.75,133.75,68.0
82,Burst,1.0,3.792640097486151,520.3057080548145,248.87519604459064,211.75,118.5,62.25
83,Burst,1.0,4.083616906514115,576.4188806804005,289.8385093610373,225.0,133.75,69.5
84,Burst,1.0,4.094453650624939,564.7418651328759,281.2929519728503,222.5,129.5,67.75
85,Burst,1.0,4.242406240290696,570.5109915992183,288.615770950177,225.0,134.0,70.5
86,Burst,1.0,4.043122009077708,590.7250880418621,299.4886998348149,233.75,139.5,70.25
87,Burst,1.0,3.920626471949235,558.0217101414452,276.197632638156,218.75,128.5,71.75
88,Burst,1.0,3.6521417274591217,516.8209341105638,244.71237368275416,209.75,120.25,67.75
89,Burst,1.0,4.1558890955820535,599.4088562240461,307.031684868415,231.0,140.5,72.25
90,Burst,1.0,4.038591884323419,602.8838245344117,310.9014705704273,230.0,143.0,70.5
91,Burst,1.0,3.9275578053371483,531.0935292024466,256.84920913916244,211.75,118.75,64.25
92,Burst,1.0,3.8162904408624834,480.73106410947673,217.83542822113768,200.25,101.75,70.5
