model,pulse_size_over_km,burst_interval_over_single_pulse_t90,burst_tonic_auc_ratio
Transporter-state,0.2636513477112815,0.13902406629995,0.9982393281938059
Transporter-state,0.3169786384922227,0.13902406629995,0.9987643410385039
Transporter-state,0.38109214359264953,0.13902406629995,0.9991383392341989
Transporter-state,0.45817353055355475,0.13902406629995,0.9993995757766588
Transporter-state,0.5508457406676333,0.13902406629995,0.9995799804274711
Transporter-state,0.6622622429651823,0.13902406629995,0.9997037314432309
Transporter-state,0.7962143411069947,0.13902406629995,0.9997882045025033
Transporter-state,0.9572601846452766,0.13902406629995,0.9998455604354343
Transporter-state,1.150879874674314,0.13902406629995,0.9998842132633146
Transporter-state,1.3836619418378735,0.13902406629995,0.9999099643547749
Transporter-state,1.663527542205342,0.13902406629995,0.9999268186328681
Transporter-state,2.0,0.13902406629995,0.9999375640087994
Linear,0.02,0.16714369046832317,1.000000000000002
Linear,0.024045288692348264,0.16714369046832317,0.9999999999999984
Linear,0.02890879541491855,0.16714369046832317,1.000000000000002
Linear,0.03475601657498751,0.16714369046832317,1.0000000000000013
Linear,0.0417859226170808,0.16714369046832317,1.000000000000003
Linear,0.050237728630191596,0.16714369046832317,0.9999999999999994
Linear,0.06039903440804033,0.16714369046832317,0.9999999999999984
Linear,0.07261561095402029,0.16714369046832317,0.9999999999999961
Linear,0.08730316644803322,0.16714369046832317,0.9999999999999959
Linear,0.10496149204995453,0.16714369046832317,1.0
Linear,0.1261914688960387,0.16714369046832317,0.9999999999999993
Linear,0.15171551500583677,0.16714369046832317,1.0000000000000042
Linear,0.18240216787118196,0.16714369046832317,0.9999999999999993
Linear,0.21929563922863704,0.16714369046832317,0.9999999999999992
Linear,0.2636513477112815,0.16714369046832317,0.9999999999999983
Linear,0.3169786384922227,0.16714369046832317,1.0000000000000053
Linear,0.38109214359264953,0.16714369046832317,1.0
Linear,0.45817353055355475,0.16714369046832317,0.999999999999996
Linear,0.5508457406676333,0.16714369046832317,1.000000000000004
Linear,0.6622622429651823,0.16714369046832317,0.9999999999999997
Linear,0.7962143411069947,0.16714369046832317,1.0000000000000009
Linear,0.9572601846452766,0.16714369046832317,0.9999999999999982
